A_ID,父母A,B_ID,父母B,结果_ID,配种结果,去除重复,a+b,“去除重复”列的筛选如果只选 TRUE ，则每种配方只出现一次，方便人眼看，但不方便父母列的搜索。请根据需要筛选此列
79,绸笠蛾,56,雷角马,100,阿努比斯,FALSE,135,,
36,美露帕,99,冥铠蝎,100,阿努比斯,TRUE,135,,
109,混沌骑士,26,猎狼,100,阿努比斯,FALSE,135,,
26,猎狼,109,混沌骑士,100,阿努比斯,TRUE,135,,
26,猎狼,110,唤夜兽,100,阿努比斯,TRUE,136,,
37,祇岳鹿,99,冥铠蝎,100,阿努比斯,TRUE,136,,
110,唤夜兽,26,猎狼,100,阿努比斯,FALSE,136,,
99,冥铠蝎,37,祇岳鹿,100,阿努比斯,FALSE,136,,
26,猎狼,111,空涡龙,100,阿努比斯,TRUE,137,,
95,天羽龙,42,炽焰牛,100,阿努比斯,FALSE,137,,
42,炽焰牛,95,天羽龙,100,阿努比斯,TRUE,137,,
111,空涡龙,26,猎狼,100,阿努比斯,FALSE,137,,
107,异构格里芬,31,鲨小子,100,阿努比斯,FALSE,138,,
103,暴电熊,35,灌木羊,100,阿努比斯,FALSE,138,,
107,异构格里芬,31,红小鲨,100,阿努比斯,FALSE,138,,
31,红小鲨,107,异构格里芬,100,阿努比斯,TRUE,138,,
31,鲨小子,107,异构格里芬,100,阿努比斯,TRUE,138,,
35,灌木羊,103,暴电熊,100,阿努比斯,TRUE,138,,
35,灌木羊,104,黑月女王,100,阿努比斯,TRUE,139,,
104,黑月女王,35,灌木羊,100,阿努比斯,FALSE,139,,
100,阿努比斯,40,暗魔羊,100,阿努比斯,FALSE,140,,
104,百合女王,36,美露帕,100,阿努比斯,FALSE,140,,
100,阿努比斯,40,炎魔羊,100,阿努比斯,FALSE,140,,
109,混沌骑士,31,鲨小子,100,阿努比斯,FALSE,140,,
36,美露帕,104,百合女王,100,阿努比斯,TRUE,140,,
40,炎魔羊,100,阿努比斯,100,阿努比斯,TRUE,140,,
31,鲨小子,109,混沌骑士,100,阿努比斯,TRUE,140,,
40,暗魔羊,100,阿努比斯,100,阿努比斯,TRUE,140,,
37,祇岳鹿,104,百合女王,100,阿努比斯,TRUE,141,,
96,焰煌,45,朋克蜥,100,阿努比斯,FALSE,141,,
96,焰煌,45,热血蜥,100,阿努比斯,FALSE,141,,
45,朋克蜥,96,焰煌,100,阿努比斯,TRUE,141,,
104,百合女王,37,祇岳鹿,100,阿努比斯,FALSE,141,,
45,热血蜥,96,焰煌,100,阿努比斯,TRUE,141,,
104,黑月女王,37,紫霞鹿,100,阿努比斯,FALSE,141,,
37,紫霞鹿,104,黑月女王,100,阿努比斯,TRUE,141,,
74,燧火鸟,68,猫蝠怪,100,阿努比斯,FALSE,142,,
43,趴趴鲶,99,冥铠蝎,100,阿努比斯,TRUE,142,,
73,迅雷鸟,69,博爱蜥,100,阿努比斯,FALSE,142,,
99,冥铠蝎,43,趴趴鲶,100,阿努比斯,FALSE,142,,
69,博爱蜥,73,迅雷鸟,100,阿努比斯,TRUE,142,,
68,猫蝠怪,74,燧火鸟,100,阿努比斯,TRUE,142,,
97,雷冥鸟,46,月镰魔,100,阿努比斯,FALSE,143,,
46,月镰魔,97,雷冥鸟,100,阿努比斯,TRUE,143,,
59,严冬鹿,85,佩克龙,100,阿努比斯,TRUE,144,,
85,佩克龙,59,严冬鹿,100,阿努比斯,FALSE,144,,
59,严冬鹿,85,派克龙,100,阿努比斯,TRUE,144,,
85,派克龙,59,严冬鹿,100,阿努比斯,FALSE,144,,
58,火麒麟,87,花丽娜,100,阿努比斯,TRUE,145,,
56,雷角马,89,君王美露帕,100,阿努比斯,TRUE,145,,
89,君王美露帕,56,雷角马,100,阿努比斯,FALSE,145,,
87,花丽娜,58,火麒麟,100,阿努比斯,FALSE,145,,
98,魔渊龙,48,山岳射手,100,阿努比斯,FALSE,146,,
102,朱雀,44,黑鸦隐士,100,阿努比斯,FALSE,146,,
48,山岳射手,98,魔渊龙,100,阿努比斯,TRUE,146,,
44,黑鸦隐士,102,朱雀,100,阿努比斯,TRUE,146,,
43,趴趴鲶,104,百合女王,100,阿努比斯,TRUE,147,,
42,炽焰牛,105,荷鲁斯,100,阿努比斯,TRUE,147,,
105,荷鲁斯,42,炽焰牛,100,阿努比斯,FALSE,147,,
104,百合女王,43,趴趴鲶,100,阿努比斯,FALSE,147,,
91,绿苔绒怪,56,雷角马,100,阿努比斯,FALSE,147,,
55,疾旋鼬,92,铠格力斯,100,阿努比斯,TRUE,147,,
102,清雀,45,朋克蜥,100,阿努比斯,FALSE,147,,
56,雷角马,91,白绒雪怪,100,阿努比斯,TRUE,147,,
56,雷角马,91,绿苔绒怪,100,阿努比斯,TRUE,147,,
45,朋克蜥,102,清雀,100,阿努比斯,TRUE,147,,
92,铠格力斯,55,疾旋鼬,100,阿努比斯,FALSE,147,,
91,白绒雪怪,56,雷角马,100,阿努比斯,FALSE,147,,
103,暴电熊,46,月镰魔,100,阿努比斯,FALSE,149,,
61,苍焰狼,88,熔岩兽,100,阿努比斯,TRUE,149,,
46,月镰魔,103,暴电熊,100,阿努比斯,TRUE,149,,
88,熔岩兽,61,苍焰狼,100,阿努比斯,FALSE,149,,
104,黑月女王,46,月镰魔,100,阿努比斯,FALSE,150,,
46,月镰魔,104,黑月女王,100,阿努比斯,TRUE,150,,
95,天羽龙,55,疾旋鼬,100,阿努比斯,FALSE,150,,
55,疾旋鼬,95,天羽龙,100,阿努比斯,TRUE,150,,
71,霜歌龙,80,精灵龙,100,阿努比斯,TRUE,151,,
90,森猛犸,61,苍焰狼,100,阿努比斯,FALSE,151,,
61,苍焰狼,90,森猛犸,100,阿努比斯,TRUE,151,,
107,异构格里芬,44,黑鸦隐士,100,阿努比斯,FALSE,151,,
80,水灵龙,71,霜歌龙,100,阿努比斯,FALSE,151,,
44,黑鸦隐士,107,异构格里芬,100,阿努比斯,TRUE,151,,
80,精灵龙,71,霜歌龙,100,阿努比斯,FALSE,151,,
71,霜歌龙,80,水灵龙,100,阿努比斯,TRUE,151,,
67,碎岩龟,85,佩克龙,100,阿努比斯,TRUE,152,,
85,佩克龙,67,碎岩龟,100,阿努比斯,FALSE,152,,
64,雷冠龙,88,熔岩兽,100,阿努比斯,TRUE,152,,
88,熔岩兽,64,雷冠龙,100,阿努比斯,FALSE,152,,
88,熔岩兽,64,花冠龙,100,阿努比斯,FALSE,152,,
64,花冠龙,88,熔岩兽,100,阿努比斯,TRUE,152,,
44,黑鸦隐士,108,圣光骑士,100,阿努比斯,TRUE,152,,
108,圣光骑士,44,黑鸦隐士,100,阿努比斯,FALSE,152,,
109,混沌骑士,44,黑鸦隐士,100,阿努比斯,FALSE,153,,
82,碧海龙,71,烽歌龙,100,阿努比斯,FALSE,153,,
71,烽歌龙,82,碧海龙,100,阿努比斯,TRUE,153,,
44,黑鸦隐士,109,混沌骑士,100,阿努比斯,TRUE,153,,
48,羽箭射手,106,波鲁杰克斯,100,阿努比斯,TRUE,154,,
106,波鲁杰克斯,48,羽箭射手,100,阿努比斯,FALSE,154,,
106,波鲁杰克斯,48,山岳射手,100,阿努比斯,FALSE,154,,
75,暗巫猫,79,绸笠蛾,100,阿努比斯,TRUE,154,,
48,山岳射手,106,波鲁杰克斯,100,阿努比斯,TRUE,154,,
79,绸笠蛾,75,暗巫猫,100,阿努比斯,FALSE,154,,
72,浪刃武士,82,碧海龙,100,阿努比斯,TRUE,154,,
82,碧海龙,72,浪刃武士,100,阿努比斯,FALSE,154,,
92,铠格力斯,64,雷冠龙,100,阿努比斯,FALSE,156,,
92,铠格力斯,64,花冠龙,100,阿努比斯,FALSE,156,,
64,花冠龙,92,铠格力斯,100,阿努比斯,TRUE,156,,
64,雷冠龙,92,铠格力斯,100,阿努比斯,TRUE,156,,
110,唤冬兽,47,天擒鸟,100,阿努比斯,FALSE,157,,
90,森猛犸,67,碎岩龟,100,阿努比斯,FALSE,157,,
90,雪猛犸,67,碎岩龟,100,阿努比斯,FALSE,157,,
107,异构格里芬,50,骑士蜂,100,阿努比斯,FALSE,157,,
67,碎岩龟,90,森猛犸,100,阿努比斯,TRUE,157,,
67,碎岩龟,90,雪猛犸,100,阿努比斯,TRUE,157,,
50,骑士蜂,107,异构格里芬,100,阿努比斯,TRUE,157,,
47,天擒鸟,110,唤冬兽,100,阿努比斯,TRUE,157,,
110,唤夜兽,47,天擒鸟,100,阿努比斯,FALSE,157,,
47,天擒鸟,110,唤夜兽,100,阿努比斯,TRUE,157,,
99,冥铠蝎,59,严冬鹿,100,阿努比斯,FALSE,158,,
48,羽箭射手,110,唤冬兽,100,阿努比斯,TRUE,158,,
59,严冬鹿,99,冥铠蝎,100,阿努比斯,TRUE,158,,
110,唤冬兽,48,羽箭射手,100,阿努比斯,FALSE,158,,
50,骑士蜂,108,圣光骑士,100,阿努比斯,TRUE,158,,
108,圣光骑士,50,骑士蜂,100,阿努比斯,FALSE,158,,
64,雷冠龙,95,天羽龙,100,阿努比斯,TRUE,159,,
95,天羽龙,64,雷冠龙,100,阿努比斯,FALSE,159,,
110,唤夜兽,49,铁拳猿,100,阿努比斯,FALSE,159,,
50,骑士蜂,109,混沌骑士,100,阿努比斯,TRUE,159,,
109,混沌骑士,50,骑士蜂,100,阿努比斯,FALSE,159,,
49,铁拳猿,110,唤冬兽,100,阿努比斯,TRUE,159,,
49,铁拳猿,110,唤夜兽,100,阿努比斯,TRUE,159,,
110,唤冬兽,49,铁拳猿,100,阿努比斯,FALSE,159,,
71,烽歌龙,89,君王美露帕,100,阿努比斯,TRUE,160,,
89,君王美露帕,71,烽歌龙,100,阿努比斯,FALSE,160,,
49,铁拳猿,111,空涡龙,100,阿努比斯,TRUE,160,,
111,空涡龙,49,铁拳猿,100,阿努比斯,FALSE,160,,
111,空涡龙,50,骑士蜂,100,阿努比斯,FALSE,161,,
50,骑士蜂,111,空涡龙,100,阿努比斯,TRUE,161,,
87,花丽娜,74,燧火鸟,100,阿努比斯,FALSE,161,,
74,燧火鸟,87,花丽娜,100,阿努比斯,TRUE,161,,
66,噬魂兽,96,焰煌,100,阿努比斯,TRUE,162,,
57,吹雪狐,105,荷鲁斯,100,阿努比斯,TRUE,162,,
91,绿苔绒怪,71,烽歌龙,100,阿努比斯,FALSE,162,,
96,焰煌,66,噬魂兽,100,阿努比斯,FALSE,162,,
105,荷鲁斯,57,吹雪狐,100,阿努比斯,FALSE,162,,
71,烽歌龙,91,绿苔绒怪,100,阿努比斯,TRUE,162,,
101,覆海龙,61,苍焰狼,100,阿努比斯,FALSE,162,,
101,腾炎龙,61,苍焰狼,100,阿努比斯,FALSE,162,,
61,苍焰狼,101,腾炎龙,100,阿努比斯,TRUE,162,,
61,苍焰狼,101,覆海龙,100,阿努比斯,TRUE,162,,
84,狱焰王,79,绸笠蛾,100,阿努比斯,FALSE,163,,
104,百合女王,59,严冬鹿,100,阿努比斯,FALSE,163,,
79,绸笠蛾,84,狱焰王,100,阿努比斯,TRUE,163,,
59,严冬鹿,104,百合女王,100,阿努比斯,TRUE,163,,
75,暗巫猫,89,冰帝美露帕,100,阿努比斯,TRUE,164,,
89,冰帝美露帕,75,暗巫猫,100,阿努比斯,FALSE,164,,
65,滑水蛇,100,阿努比斯,100,阿努比斯,TRUE,165,,
102,朱雀,63,秘斯媞雅,100,阿努比斯,FALSE,165,,
63,秘斯媞雅,102,朱雀,100,阿努比斯,TRUE,165,,
64,花冠龙,101,覆海龙,100,阿努比斯,TRUE,165,,
64,花冠龙,101,腾炎龙,100,阿努比斯,TRUE,165,,
101,覆海龙,64,花冠龙,100,阿努比斯,FALSE,165,,
101,腾炎龙,64,花冠龙,100,阿努比斯,FALSE,165,,
63,秘斯媞雅,102,清雀,100,阿努比斯,TRUE,165,,
100,阿努比斯,65,滑水蛇,100,阿努比斯,FALSE,165,,
102,清雀,63,秘斯媞雅,100,阿努比斯,FALSE,165,,
91,白绒雪怪,75,暗巫猫,100,阿努比斯,FALSE,166,,
69,博爱蜥,97,雷冥鸟,100,阿努比斯,TRUE,166,,
97,雷冥鸟,69,博爱蜥,100,阿努比斯,FALSE,166,,
75,暗巫猫,91,白绒雪怪,100,阿努比斯,TRUE,166,,
101,覆海龙,67,碎岩龟,100,阿努比斯,FALSE,168,,
67,碎岩龟,101,覆海龙,100,阿努比斯,TRUE,168,,
85,佩克龙,86,连理龙,100,阿努比斯,TRUE,171,,
86,连理龙,85,派克龙,100,阿努比斯,FALSE,171,,
86,连理龙,85,佩克龙,100,阿努比斯,FALSE,171,,
85,派克龙,86,连理龙,100,阿努比斯,TRUE,171,,
69,博爱蜥,103,暴电熊,100,阿努比斯,TRUE,172,,
103,暴电熊,69,博爱蜥,100,阿努比斯,FALSE,172,,
89,冰帝美露帕,84,狱焰王,100,阿努比斯,FALSE,173,,
84,狱焰王,89,冰帝美露帕,100,阿努比斯,TRUE,173,,
89,君王美露帕,84,狱阎王,100,阿努比斯,FALSE,173,,
69,博爱蜥,104,黑月女王,100,阿努比斯,TRUE,173,,
104,黑月女王,69,博爱蜥,100,阿努比斯,FALSE,173,,
84,狱阎王,89,君王美露帕,100,阿努比斯,TRUE,173,,
86,海誓龙,88,熔岩兽,100,阿努比斯,TRUE,174,,
88,熔岩兽,86,海誓龙,100,阿努比斯,FALSE,174,,
91,绿苔绒怪,84,狱阎王,100,阿努比斯,FALSE,175,,
98,魔渊龙,77,踏春兔,100,阿努比斯,FALSE,175,,
77,踏春兔,98,魔渊龙,100,阿努比斯,TRUE,175,,
91,白绒雪怪,84,狱阎王,100,阿努比斯,FALSE,175,,
84,狱阎王,91,绿苔绒怪,100,阿努比斯,TRUE,175,,
84,狱阎王,91,白绒雪怪,100,阿努比斯,TRUE,175,,
90,雪猛犸,86,海誓龙,100,阿努比斯,FALSE,176,,
86,海誓龙,90,森猛犸,100,阿努比斯,TRUE,176,,
90,雪猛犸,86,连理龙,100,阿努比斯,FALSE,176,,
90,森猛犸,86,连理龙,100,阿努比斯,FALSE,176,,
86,连理龙,90,雪猛犸,100,阿努比斯,TRUE,176,,
86,连理龙,90,森猛犸,100,阿努比斯,TRUE,176,,
90,森猛犸,86,海誓龙,100,阿努比斯,FALSE,176,,
86,海誓龙,90,雪猛犸,100,阿努比斯,TRUE,176,,
83,冰棘兽,94,夜幕魔蝠,100,阿努比斯,TRUE,177,,
94,夜幕魔蝠,83,冰棘兽,100,阿努比斯,FALSE,177,,
87,花丽娜,95,天羽龙,100,阿努比斯,TRUE,182,,
95,天羽龙,87,花丽娜,100,阿努比斯,FALSE,182,,
106,波鲁杰克斯,77,踏春兔,100,阿努比斯,FALSE,183,,
77,踏春兔,106,波鲁杰克斯,100,阿努比斯,TRUE,183,,
108,圣光骑士,78,薇莉塔,100,阿努比斯,FALSE,186,,
78,薇莉塔,108,圣光骑士,100,阿努比斯,TRUE,186,,
101,覆海龙,86,海誓龙,100,阿努比斯,FALSE,187,,
86,海誓龙,101,覆海龙,100,阿努比斯,TRUE,187,,
101,腾炎龙,86,海誓龙,100,阿努比斯,FALSE,187,,
86,海誓龙,101,腾炎龙,100,阿努比斯,TRUE,187,,
78,薇莉塔,110,唤夜兽,100,阿努比斯,TRUE,188,,
110,唤夜兽,78,薇莉塔,100,阿努比斯,FALSE,188,,
111,空涡龙,78,薇莉塔,100,阿努比斯,FALSE,189,,
78,薇莉塔,111,空涡龙,100,阿努比斯,TRUE,189,,
98,魔渊龙,93,云海鹿,100,阿努比斯,FALSE,191,,
93,云海鹿,98,魔渊龙,100,阿努比斯,TRUE,191,,
87,花丽娜,105,荷鲁斯,100,阿努比斯,TRUE,192,,
105,荷鲁斯,87,花丽娜,100,阿努比斯,FALSE,192,,
98,魔渊龙,94,夜幕魔蝠,100,阿努比斯,FALSE,192,,
94,夜幕魔蝠,98,魔渊龙,100,阿努比斯,TRUE,192,,
94,夜幕魔蝠,106,波鲁杰克斯,100,阿努比斯,TRUE,200,,
106,波鲁杰克斯,94,夜幕魔蝠,100,阿努比斯,FALSE,200,,
100,阿努比斯,100,阿努比斯,100,阿努比斯,TRUE,200,,
110,唤冬兽,94,夜幕魔蝠,100,阿努比斯,FALSE,204,,
94,夜幕魔蝠,110,唤冬兽,100,阿努比斯,TRUE,204,,
40,暗魔羊,40,暗魔羊,40,暗魔羊,TRUE,80,,
40,炎魔羊,66,噬魂兽,40,暗魔羊,TRUE,106,,
66,噬魂兽,40,炎魔羊,40,暗魔羊,FALSE,106,,
25,鲁米儿,11,企丸王,75,暗巫猫,FALSE,36,,
11,企丸王,25,鲁米儿,75,暗巫猫,TRUE,36,,
58,邪麒麟,9,燎火鹿,75,暗巫猫,FALSE,67,,
9,燎火鹿,58,邪麒麟,75,暗巫猫,TRUE,67,,
11,企丸王,59,严冬鹿,75,暗巫猫,TRUE,70,,
59,严冬鹿,11,企丸王,75,暗巫猫,FALSE,70,,
41,幻悦蝶,29,波霸牛,75,暗巫猫,FALSE,70,,
29,波霸牛,41,幻悦蝶,75,暗巫猫,TRUE,70,,
51,女皇蜂,26,猎狼,75,暗巫猫,FALSE,77,,
26,猎狼,51,女皇蜂,75,暗巫猫,TRUE,77,,
37,祇岳鹿,41,幻悦蝶,75,暗巫猫,TRUE,78,,
41,幻悦蝶,37,祇岳鹿,75,暗巫猫,FALSE,78,,
33,雷胖达,48,山岳射手,75,暗巫猫,TRUE,81,,
48,山岳射手,33,雷胖达,75,暗巫猫,FALSE,81,,
41,幻悦蝶,43,趴趴鲶,75,暗巫猫,TRUE,84,,
43,趴趴鲶,41,幻悦蝶,75,暗巫猫,FALSE,84,,
36,美露帕,52,笑魇猫,75,暗巫猫,TRUE,88,,
52,笑魇猫,36,美露帕,75,暗巫猫,FALSE,88,,
21,露娜蒂,73,迅雷鸟,75,暗巫猫,TRUE,94,,
73,迅雷鸟,21,露娜蒂,75,暗巫猫,FALSE,94,,
52,笑魇猫,43,趴趴鲶,75,暗巫猫,FALSE,95,,
40,炎魔羊,55,疾旋鼬,75,暗巫猫,TRUE,95,,
55,疾旋鼬,40,炎魔羊,75,暗巫猫,FALSE,95,,
43,趴趴鲶,52,笑魇猫,75,暗巫猫,TRUE,95,,
9,燎火鹿,88,寒霜兽,75,暗巫猫,TRUE,97,,
88,寒霜兽,9,燎火鹿,75,暗巫猫,FALSE,97,,
50,骑士蜂,51,女皇蜂,75,暗巫猫,TRUE,101,,
51,女皇蜂,50,骑士蜂,75,暗巫猫,FALSE,101,,
40,暗魔羊,64,花冠龙,75,暗巫猫,TRUE,104,,
40,炎魔羊,64,雷冠龙,75,暗巫猫,TRUE,104,,
64,雷冠龙,40,炎魔羊,75,暗巫猫,FALSE,104,,
64,雷冠龙,40,暗魔羊,75,暗巫猫,FALSE,104,,
64,花冠龙,40,暗魔羊,75,暗巫猫,FALSE,104,,
40,暗魔羊,64,雷冠龙,75,暗巫猫,TRUE,104,,
20,草莽猪,85,派克龙,75,暗巫猫,TRUE,105,,
58,火麒麟,47,天擒鸟,75,暗巫猫,FALSE,105,,
85,派克龙,20,草莽猪,75,暗巫猫,FALSE,105,,
80,水灵龙,25,鲁米儿,75,暗巫猫,FALSE,105,,
25,鲁米儿,80,水灵龙,75,暗巫猫,TRUE,105,,
47,天擒鸟,58,火麒麟,75,暗巫猫,TRUE,105,,
8,新叶猿,98,魔渊龙,75,暗巫猫,TRUE,106,,
98,魔渊龙,8,新叶猿,75,暗巫猫,FALSE,106,,
58,火麒麟,49,铁拳猿,75,暗巫猫,FALSE,107,,
49,铁拳猿,58,火麒麟,75,暗巫猫,TRUE,107,,
